House Area (Square Meters),Year Built,Distance to City Center (Kilometers),Sale Price (Ten Thousand Yuan)
-1.0353551553774913,-0.8783458023640861,-0.5613413993878117,120.0
0.11503946170861015,-1.7069739178019103,0.7144345083117601,180.0
-0.4601578468344406,0.7789104285115622,-1.0716517624676405,150.0
0.9778354245231864,-0.04971768692626191,1.990210416011332,200.0
2.4158286958808133,1.6075385439493863,0.20412414523193145,250.0
-0.747756501105966,-0.3811689331013916,-1.3268069440075547,130.0
-0.17255919256291524,1.110361674686692,1.224744871391589,170.0
0.40263811598013555,0.44745918233643256,-0.05103103630798292,190.0
-0.8915558282417287,-1.2097970485392158,-0.816496580927726,140.0
-0.6039571739702033,0.2817335592488677,-0.3061862178478973,160.0
